,Airline Name,Date of journey,Source,Destination,Departure Time,Arrival Time,Duration,Total Stops,Price
174,Air India,"Tue, 23 Nov",Mumbai,Kolkata,20:15,"16:00
+ 1 day",19h 45m,2 Stop(s),9247
175,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,7:10,13:20,6h 10m,1 Stop,9303
176,Air India,"Tue, 23 Nov",Mumbai,Kolkata,7:05,14:30,7h 25m,2 Stop(s),9461
177,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,17:10,"00:30
+ 1 day",7h 20m,1 Stop,9513
178,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,16:20,"00:30
+ 1 day",8h 10m,1 Stop,9513
179,Air India,"Tue, 23 Nov",Mumbai,Kolkata,9:50,21:05,11h 15m,2 Stop(s),9526
180,Air India,"Tue, 23 Nov",Mumbai,Kolkata,9:30,"08:20
+ 1 day",22h 50m,1 Stop,9675
181,Go First,"Tue, 23 Nov",Mumbai,Kolkata,10:55,16:15,5h 20m,1 Stop,9697
182,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,17:10,22:40,5h 30m,1 Stop,9723
183,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,16:20,22:40,6h 20m,1 Stop,9723
184,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,10:45,19:15,8h 30m,1 Stop,9723
185,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,12:45,22:40,9h 55m,1 Stop,9723
186,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,17:30,22:45,5h 15m,1 Stop,9879
187,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,15:45,22:45,7h 00m,1 Stop,9879
188,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,11:55,19:35,7h 40m,1 Stop,9879
189,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,14:40,22:45,8h 05m,1 Stop,9879
190,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,10:25,19:35,9h 10m,1 Stop,9879
191,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,22:45,"08:20
+ 1 day",9h 35m,1 Stop,9879
192,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,21:55,"08:20
+ 1 day",10h 25m,1 Stop,9879
193,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,8:45,19:35,10h 50m,1 Stop,9879
194,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,11:55,22:45,10h 50m,1 Stop,9879
195,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,22:45,"09:35
+ 1 day",10h 50m,1 Stop,9879
196,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,20:55,"08:20
+ 1 day",11h 25m,1 Stop,9879
197,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,21:55,"09:35
+ 1 day",11h 40m,1 Stop,9879
198,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,10:25,22:45,12h 20m,1 Stop,9879
199,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,19:45,"08:20
+ 1 day",12h 35m,1 Stop,9879
